source,task_id,description,target,priority,status,user_story,p_value,scope_note
ADR 0048,0048-018,Extend Python validator with cross-referencing Locale Documents against Definition,src/formspec/validator/,later,NOT_DONE,"As a spec author, I want to extend Python validator with cross-referencing Locale Documents against Definition, so that the src is complete.",P4,Python validator locale cross-referencing. P4 correct — no demand driver.
ADR 0053,0053-002,Generate Assist spec BLUF and LLM artifacts,s`pecs/assist/`,later,NOT_DONE,"As a developer, I want to generate Assist spec BLUF and LLM artifacts, so that the s`pecs is complete.",P4,Generate Assist spec BLUF + LLM artifacts. npm run docs:generate should handle once spec is stable.
ADR 0053,0053-005,Implement WebMCP shim polyfill navigator.modelContext,packages/formspec-assist/src/shim/,later,PARTIAL,"As a spec author, I want to implement WebMCP shim polyfill navigator.modelContext, so that the runtime supports this behavior.",P4,Exists at src/webmcp-shim.ts (not src/shim/). Path mismatch — organizational debt.
ADR 0053,0053-006,Implement per-tool registerTool using registerTool not provideContext,packages/formspec-assist/src/shim/,later,PARTIAL,"As a spec author, I want to implement per-tool registerTool using registerTool not provideContext, so that the runtime supports this behavior.",P4,Exists at provider.ts:578 (not src/shim/). Path mismatch. Extract to dedicated file ~P3.
ADR 0053,0053-007,Implement context resolver FieldHelp assembly from References+Ontology,packages/formspec-assist/src/resolver/,later,PARTIAL,"As a spec author, I want to implement context resolver FieldHelp assembly from References+Ontology, so that the runtime supports this behavior.",P4,Exists at src/context-resolver.ts (not src/resolver/). Path mismatch only.
ADR 0053,0053-008,Implement profile store concept-keyed storage SKOS confidence levels,packages/formspec-assist/src/profile/,later,PARTIAL,"As a spec author, I want to implement profile store concept-keyed storage SKOS confidence levels, so that the runtime supports this behavior.",P4,Exists at src/profile-store.ts + profile-matcher.ts (not src/profile/). Path mismatch only.
ADR 0053,0053-009,Implement introspection tools describe list help progress,packages/formspec-assist/src/tools/,later,PARTIAL,"As a spec author, I want to implement introspection tools describe list help progress, so that the runtime supports this behavior.",P4,Inline in provider.ts:526 (not src/tools/). Extraction from 969-line monolith — ~1 day refactor.
ADR 0053,0053-010,Implement mutation tools set bulkSet,packages/formspec-assist/src/tools/,later,PARTIAL,"As a spec author, I want to implement mutation tools set bulkSet, so that the runtime supports this behavior.",P4,Inline in provider.ts:544. Same extraction opportunity as 0053-009.
ADR 0053,0053-011,Implement profile tools match apply learn,packages/formspec-assist/src/tools/,later,PARTIAL,"As a spec author, I want to implement profile tools match apply learn, so that the runtime supports this behavior.",P4,Inline in provider.ts:554. Same extraction.
ADR 0053,0053-012,Implement navigation tools validate pages nextIncomplete,packages/formspec-assist/src/tools/,later,PARTIAL,"As a spec author, I want to implement navigation tools validate pages nextIncomplete, so that the runtime supports this behavior.",P4,Inline in provider.ts:548. Same extraction.
ADR 0053,0053-019,Implement AdapterContext in webcomponent for assist-sidecar discovery,packages/formspec-webcomponent/src/,later,NOT_DONE,"As a spec author, I want to implement AdapterContext in webcomponent for assist-sidecar discovery, so that the runtime supports this behavior.",P4,AdapterContext for assist-sidecar in webcomponent. P4 correct — no demand driver.
ADR 0053,0053-021,Implement pluggable LLM adapter in chat package,packages/formspec-assist-chat/src/adapter/,later,NOT_DONE,"As a spec author, I want to implement pluggable LLM adapter in chat package, so that the runtime supports this behavior.",P4,"LLM adapter in chat package. Blocked on 0053-020 (assist-chat scaffold, P1)."
ADR 0053,0053-022,Implement conversational QandA grounded in FieldHelp context,packages/formspec-assist-chat/src/features/,later,NOT_DONE,"As a spec author, I want to implement conversational QandA grounded in FieldHelp context, so that the runtime supports this behavior.",P4,Conversational QandA. Blocked on 0053-020 (assist-chat scaffold).
ADR 0053,0053-023,Implement guided walkthrough step-by-step flow,packages/formspec-assist-chat/src/features/,later,NOT_DONE,"As a spec author, I want to implement guided walkthrough step-by-step flow, so that the runtime supports this behavior.",P4,Guided walkthrough. Blocked on 0053-020 (assist-chat scaffold).
ADR 0053,0053-024,Implement proactive suggestions watching form state,packages/formspec-assist-chat/src/features/,later,NOT_DONE,"As a spec author, I want to implement proactive suggestions watching form state, so that the runtime supports this behavior.",P4,Proactive suggestions. Blocked on 0053-020 (assist-chat scaffold).
ADR 0053,0053-025,Implement document extraction upload LLM to bulkSet,packages/formspec-assist-chat/src/features/,later,NOT_DONE,"As a spec author, I want to implement document extraction upload LLM to bulkSet, so that the runtime supports this behavior.",P4,Document-to-form extraction. Blocked on 0053-020 (assist-chat scaffold).
Spec 2026-03-24,SPEC-001,formspec-theme crate — types + serde,crates/formspec-theme/,later,NOT_DONE,"As a spec author, I want to formspec-theme crate — types + serde, so that the specification is complete and normative.",P4,Rust formspec-theme types+serde. TS equivalent at formspec-layout/src/theme-resolver.ts.
Spec 2026-03-24,SPEC-002,formspec-theme crate — 6-level cascade resolver,crates/formspec-theme/,later,NOT_DONE,"As a spec author, I want to formspec-theme crate — 6-level cascade resolver, so that the specification is complete and normative.",P4,Rust cascade resolver. TS equivalent at theme-resolver.ts (5-level merge).
Spec 2026-03-24,SPEC-003,formspec-theme crate — token resolution,crates/formspec-theme/,later,NOT_DONE,"As a spec author, I want to formspec-theme crate — token resolution, so that the specification is complete and normative.",P4,Rust token resolution. TS equivalent at tokens.ts.
Spec 2026-03-24,SPEC-004,formspec-theme crate — widget fallback chain,crates/formspec-theme/,later,NOT_DONE,"As a spec author, I want to formspec-theme crate — widget fallback chain, so that the specification is complete and normative.",P4,Rust widget fallback chain. TS equivalent at theme-resolver.ts.
Spec 2026-03-24,SPEC-005,formspec-theme crate — widget vocabulary,crates/formspec-theme/,later,NOT_DONE,"As a spec author, I want to formspec-theme crate — widget vocabulary, so that the specification is complete and normative.",P4,Rust widget vocabulary. TS equivalent at widget-vocabulary.ts.
Spec 2026-03-24,SPEC-006,formspec-theme crate — cssClassReplace + tailwind-merge,crates/formspec-theme/,later,NOT_DONE,"As a spec author, I want to formspec-theme crate — cssClassReplace + tailwind-merge, so that the specification is complete and normative.",P4,Rust cssClassReplace+tailwind-merge. TS equivalent at theme-resolver.ts:231-254.
Spec 2026-03-24,SPEC-007,formspec-theme crate — none sentinel suppression,crates/formspec-theme/,later,NOT_DONE,"As a spec author, I want to formspec-theme crate — none sentinel suppression, so that the specification is complete and normative.",P4,Rust none sentinel suppression. Not in TS either — spec divergence.
Spec 2026-03-24,SPEC-008,formspec-theme crate — unit tests,crates/formspec-theme/,later,NOT_DONE,"As a spec author, I want to formspec-theme crate — unit tests, so that the specification is complete and normative.",P4,Rust unit tests for formspec-theme.
Spec 2026-03-24,SPEC-009,formspec-plan crate — types + serde,crates/formspec-plan/,later,NOT_DONE,"As a spec author, I want to formspec-plan crate — types + serde, so that the specification is complete and normative.",P4,Rust formspec-plan types+serde. TS equivalent at planner.ts (972 lines).
Spec 2026-03-24,SPEC-010,formspec-plan crate — plan_definition_fallback,crates/formspec-plan/,later,NOT_DONE,"As a spec author, I want to formspec-plan crate — plan_definition_fallback, so that the specification is complete and normative.",P4,Rust plan_definition_fallback. TS equivalent at planner.ts.
Spec 2026-03-24,SPEC-011,formspec-plan crate — plan_component_tree,crates/formspec-plan/,later,NOT_DONE,"As a spec author, I want to formspec-plan crate — plan_component_tree, so that the specification is complete and normative.",P4,Rust plan_component_tree. TS equivalent at planner.ts:340-410.
Spec 2026-03-24,SPEC-012,formspec-plan crate — custom component expansion,crates/formspec-plan/,later,NOT_DONE,"As a spec author, I want to formspec-plan crate — custom component expansion, so that the specification is complete and normative.",P4,Rust custom component expansion. TS equivalent at planner.ts.
Spec 2026-03-24,SPEC-013,formspec-plan crate — responsive resolution,crates/formspec-plan/,later,NOT_DONE,"As a spec author, I want to formspec-plan crate — responsive resolution, so that the specification is complete and normative.",P4,Rust responsive resolution. TS equivalent at responsive.ts.
Spec 2026-03-24,SPEC-014,formspec-plan crate — theme page layout 12-column grid,crates/formspec-plan/,later,NOT_DONE,"As a spec author, I want to formspec-plan crate — theme page layout 12-column grid, so that the specification is complete and normative.",P4,Rust 12-column grid layout. TS equivalent at planner.ts planThemePages.
Spec 2026-03-24,SPEC-015,formspec-plan crate — page mode wrapping wizard/tabs,crates/formspec-plan/,later,NOT_DONE,"As a spec author, I want to formspec-plan crate — page mode wrapping wizard/tabs, so that the specification is complete and normative.",P4,Rust page mode wizard/tabs. TS equivalent at page-sequence.ts.
Spec 2026-03-24,SPEC-016,formspec-plan crate — unbound required items fallback,crates/formspec-plan/,later,NOT_DONE,"As a spec author, I want to formspec-plan crate — unbound required items fallback, so that the specification is complete and normative.",P4,Rust unbound required items fallback. TS partial — spec divergence noted.
Spec 2026-03-24,SPEC-017,formspec-plan crate — parameter interpolation + default component mapping,crates/formspec-plan/,later,NOT_DONE,"As a spec author, I want to formspec-plan crate — parameter interpolation + default component mapping, so that the specification is complete and normative.",P4,Rust parameter interpolation + default mapping. TS at params.ts + defaults.ts.
Spec 2026-03-24,SPEC-018,formspec-plan crate — evaluate_and_merge behind eval-merge feature,crates/formspec-plan/,later,NOT_DONE,"As a spec author, I want crate — evaluate_and_merge behind eval-merge feature, so that the engine evaluates this correctly.",P4,Rust evaluate_and_merge behind feature flag. Feature flag system exists in wasm crate.
Spec 2026-03-24,SPEC-019,formspec-plan crate — unit tests + cross-planner conformance fixtures,crates/formspec-plan/ + tests/conformance/layout/,later,NOT_DONE,"As a QA engineer, I want to formspec-plan crate — unit tests + cross-planner conformance fixtures, so that the specification is complete and normative.",P4,Rust unit tests + conformance fixtures. TS tests at planner.test.ts.
Spec 2026-03-24,SPEC-020,WASM bridge — feature flags theme-api plan-api pdf-api,formspec-wasm/,later,NOT_DONE,"As a spec author, I want to wASM bridge — feature flags theme-api plan-api pdf-api, so that the specification is complete and normative.",P4,"WASM feature flags theme-api/plan-api/pdf-api. Current flags: lint, document-api, fel-authoring."
Spec 2026-03-24,SPEC-021,WASM bridge — export functions resolvePresentation resolveToken planComponentTree,formspec-wasm/src/,later,NOT_DONE,"As a spec author, I want to wASM bridge — export functions resolvePresentation resolveToken planComponentTree, so that the specification is complete and normative.",P4,WASM exports resolvePresentation/resolveToken/planComponentTree.
Spec 2026-03-24,SPEC-022,WASM bridge — TypeScript migration delete TS planner files keep types,packages/formspec-layout/,later,NOT_DONE,"As a spec author, I want to wASM bridge — TypeScript migration delete TS planner files keep types, so that the specification is complete and normative.",P4,Delete TS planner files after Rust parity proven. RISKY — formspec-layout consumed by 3+ packages.
Spec 2026-03-24,SPEC-023,WASM bridge — cross-planner conformance + E2E fix regressions,packages/formspec-layout/ + tests/,later,NOT_DONE,"As a QA engineer, I want to wASM bridge — cross-planner conformance + E2E fix regressions, so that the specification is complete and normative.",P4,Cross-planner conformance + E2E regression fixes.
Spec 2026-03-24,SPEC-024,formspec-pdf 4a — font metrics Standard 14 AFM glyph widths,crates/formspec-pdf/src/fonts.rs,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4a — font metrics Standard 14 AFM glyph widths, so that the specification is complete and normative.",P4,"PDF 4a font metrics. SHOULD BE P3 — unblocks ADR 0051. Greenfield, independent of other Rust work."
Spec 2026-03-24,SPEC-025,formspec-pdf 4a — measure_node for all node categories,crates/formspec-pdf/src/measure.rs,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4a — measure_node for all node categories, so that the specification is complete and normative.",P4,PDF 4a measure_node. Greenfield. Tied to SPEC-024.
Spec 2026-03-24,SPEC-026,formspec-pdf 4a — pagination greedy single-pass with 5 keep constraints,crates/formspec-pdf/src/paginate.rs,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4a — pagination greedy single-pass with 5 keep constraints, so that the specification is complete and normative.",P4,PDF 4a pagination greedy single-pass. Greenfield.
Spec 2026-03-24,SPEC-027,formspec-pdf 4a — pagination tests accuracy and fixtures,crates/formspec-pdf/tests/,later,NOT_DONE,"As a QA engineer, I want to formspec-pdf 4a — pagination tests accuracy and fixtures, so that the specification is complete and normative.",P4,PDF 4a pagination tests. Greenfield.
Spec 2026-03-24,SPEC-028,formspec-pdf 4b — appearance streams text checkbox radio,crates/formspec-pdf/src/appearance.rs,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4b — appearance streams text checkbox radio, so that the specification is complete and normative.",P4,PDF 4b appearance streams. Greenfield.
Spec 2026-03-24,SPEC-029,formspec-pdf 4b — AcroForm fields all 12 component types hierarchical naming,crates/formspec-pdf/src/acroform.rs,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4b — AcroForm fields all 12 component types hierarchical naming, so that the specification is complete and normative.",P4,PDF 4b AcroForm fields. Greenfield.
Spec 2026-03-24,SPEC-030,formspec-pdf 4b — appearance + acroform tests,crates/formspec-pdf/tests/,later,NOT_DONE,"As a QA engineer, I want to formspec-pdf 4b — appearance + acroform tests, so that the specification is complete and normative.",P4,PDF 4b appearance + acroform tests. Greenfield.
Spec 2026-03-24,SPEC-031,formspec-pdf 4c — Tagged PDF structure TaggingContext StructTreeRoot ParentTree,crates/formspec-pdf/src/tagged.rs,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4c — Tagged PDF structure TaggingContext StructTreeRoot ParentTree, so that the specification is complete and normative.",P4,PDF 4c Tagged PDF structure. Greenfield.
Spec 2026-03-24,SPEC-032,formspec-pdf 4c — artifact marking + MDI tags,crates/formspec-pdf/src/,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4c — artifact marking + MDI tags, so that the specification is complete and normative.",P4,PDF 4c artifact marking + MDI. Greenfield.
Spec 2026-03-24,SPEC-033,formspec-pdf 4c — Matterhorn compliance tests,crates/formspec-pdf/tests/,later,NOT_DONE,"As a QA engineer, I want to formspec-pdf 4c — Matterhorn compliance tests, so that the specification is complete and normative.",P4,PDF 4c Matterhorn compliance tests. Greenfield.
Spec 2026-03-24,SPEC-034,formspec-pdf 4d — coordinate mapping 12-column grid to PDF point coords,crates/formspec-pdf/src/layout.rs,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4d — coordinate mapping 12-column grid to PDF point coords, so that the specification is complete and normative.",P4,PDF 4d coordinate mapping 12-column grid to PDF points. Greenfield.
Spec 2026-03-24,SPEC-035,formspec-pdf 4d — content rendering page content streams headers footers,crates/formspec-pdf/src/render.rs,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4d — content rendering page content streams headers footers, so that the specification is complete and normative.",P4,PDF 4d content rendering. Greenfield.
Spec 2026-03-24,SPEC-036,formspec-pdf 4d — pipeline wiring + E2E definition+theme+response to PDF bytes,crates/formspec-pdf/src/ + tests/,later,NOT_DONE,"As a QA engineer, I want to formspec-pdf 4d — pipeline wiring + E2E definition+theme+response to PDF bytes, so that the specification is complete and normative.",P4,PDF 4d pipeline wiring E2E. Greenfield.
Spec 2026-03-24,SPEC-037,formspec-pdf 4e — XFDF round-trip generation and parsing,crates/formspec-pdf/src/xfdf.rs,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4e — XFDF round-trip generation and parsing, so that the specification is complete and normative.",P4,PDF 4e XFDF round-trip. Greenfield.
Spec 2026-03-24,SPEC-038,formspec-pdf 4e — custom font strategy Standard 14 default + subsetter,crates/formspec-pdf/src/fonts.rs,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4e — custom font strategy Standard 14 default + subsetter, so that the specification is complete and normative.",P4,PDF 4e custom font strategy. Greenfield.
Spec 2026-03-24,SPEC-039,formspec-pdf 4e — WASM + Python exposure renderPDF generateXFDF parseXFDF,formspec-wasm/ + formspec-py/,later,NOT_DONE,"As a spec author, I want to formspec-pdf 4e — WASM + Python exposure renderPDF generateXFDF parseXFDF, so that the specification is complete and normative.",P4,PDF 4e WASM + Python exposure. Greenfield.
Spec 2026-03-24,SPEC-040,formspec-pdf 4e — round-trip test render PDF extract XFDF parse compare,cr`ates/formspec-pdf/tests/`,later,NOT_DONE,"As a QA engineer, I want to formspec-pdf 4e — round-trip test render PDF extract XFDF parse compare, so that the specification is complete and normative.",P4,PDF 4e round-trip tests. Greenfield.
Spec 2026-03-26 assist-chat,SPEC-041,Define shared LLMAdapter interface in formspec-types Layer 0,packages/formspec-types/,later,NOT_DONE,"As a spec author, I want to define shared LLMAdapter interface in formspec-types Layer 0, so that the specification is complete and normative.",P4,LLMAdapter interface in formspec-types Layer 0. Not done. P4 correct.
Spec 2026-03-26 assist-chat,SPEC-043,Implement ChatSession attach/detach conversational QandA with LLM context,packages/formspec-assist-chat/src/,later,PARTIAL,"As a spec author, I want to implement ChatSession attach/detach conversational QandA with LLM context, so that the runtime supports this behavior.",P4,ChatSession attach/detach. Exists in formspec-studio/formspec-chat. Not in formspec repo.
Spec 2026-03-26 assist-chat,SPEC-044,Implement guided walkthrough step-by-step field walkthrough,packages/formspec-assist-chat/src/,later,NOT_DONE,"As a spec author, I want to implement guided walkthrough step-by-step field walkthrough, so that the runtime supports this behavior.",P4,Guided walkthrough. Not done anywhere. P4 correct.
Spec 2026-03-26 assist-chat,SPEC-045,Implement suggestion engine Preact Signals-based watching,crates/formspec-assist-chat/src/,later,NOT_DONE,"As a spec author, I want to implement suggestion engine Preact Signals-based watching, so that the runtime supports this behavior.",P4,Suggestion engine. Not done. P4 correct.
Spec 2026-03-26 assist-chat,SPEC-046,Implement document-to-form extraction upload LLM extract ontology align bulkSet,crates/formspec-assist-chat/src/,later,PARTIAL,"As a spec author, I want to implement document-to-form extraction upload LLM extract ontology align bulkSet, so that the runtime supports this behavior.",P4,Document-to-form extraction. Partial in formspec-studio/formspec-chat.
Spec 2026-03-26 assist-chat,SPEC-047,Implement LLM-powered field explanations explain.ts,crates/formspec-assist-chat/src/,later,NOT_DONE,"As a spec author, I want to implement LLM-powered field explanations explain.ts, so that the runtime supports this behavior.",P4,LLM-powered field explanations. Not done. P4 correct.
Spec 2026-03-26 assist-chat,SPEC-048,Implement LLM adapters anthropic openai mock,packages/formspec-assist-chat/src/adapters/,later,PARTIAL,"As a spec author, I want to implement LLM adapters anthropic openai mock, so that the runtime supports this behavior.",P4,LLM adapters anthropic/openai/mock. Exist in formspec-studio/formspec-chat.
Spec 2026-03-26 formy,SPEC-049,Formy Phase 1 — Chrome M3 manifest service worker content script side panel,formy-extension/,later,NOT_DONE,"As a developer, I want to formy Phase 1 — Chrome M3 manifest service worker content script side panel, so that the formy-extension is complete.",P4,BLOCKED — formy-extension submodule does not exist. All 10 formy tickets unstartable.
Spec 2026-03-26 formy,SPEC-050,Formy Phase 1 — Mode 1 Full Assist Provider tools-available detection postMessage transport autofill,formy-extension/,later,NOT_DONE,"As a developer, I want to formy Phase 1 — Mode 1 Full Assist Provider tools-available detection postMessage transport autofill, so that the formy-extension is complete.",P4,BLOCKED on formy-extension submodule.
Spec 2026-03-26 formy,SPEC-051,Formy Phase 1 — side panel UI profile picker autofill preview field help progress,formy-extension/,later,NOT_DONE,"As a developer, I want to formy Phase 1 — side panel UI profile picker autofill preview field help progress, so that the formy-extension is complete.",P4,BLOCKED on formy-extension submodule.
Spec 2026-03-26 formy,SPEC-052,Formy Phase 1 — profile vault password-based PBKDF2 localStorage encryption,formy-extension/,later,NOT_DONE,"As a developer, I want phase 1 — profile vault password-based pbkdf2 localstorage encryption, so that form definitions are validated for correctness.",P4,BLOCKED on formy-extension submodule.
Spec 2026-03-26 formy,SPEC-053,Formy Phase 2 — WebAuthn vault encryption PRF extension HKDF AES-256-GCM,formy-extension/,later,NOT_DONE,"As a developer, I want to formy Phase 2 — WebAuthn vault encryption PRF extension HKDF AES-256-GCM, so that the formy-extension is complete.",P4,BLOCKED on formy-extension submodule.
Spec 2026-03-26 formy,SPEC-054,Formy Phase 2 — Mode 2 Bootstrap Assist Provider inject bundle sidecar discovery,formy-extension/,later,NOT_DONE,"As a developer, I want to formy Phase 2 — Mode 2 Bootstrap Assist Provider inject bundle sidecar discovery, so that the formy-extension is complete.",P4,BLOCKED on formy-extension submodule.
Spec 2026-03-26 formy,SPEC-055,Formy Phase 2 — multi-profile form memory auto-save restore 30-day expiry,formy-extension/,later,NOT_DONE,"As a developer, I want to formy Phase 2 — multi-profile form memory auto-save restore 30-day expiry, so that the formy-extension is complete.",P4,BLOCKED on formy-extension submodule.
Spec 2026-03-26 formy,SPEC-056,Formy Phase 3 — Firefox WebExtensions port manifest sidebar_action,formy-extension/,later,NOT_DONE,"As a developer, I want to formy Phase 3 — Firefox WebExtensions port manifest sidebar_action, so that the formy-extension is complete.",P4,BLOCKED on formy-extension submodule.
Spec 2026-03-26 formy,SPEC-057,Formy Phase 3 — Mode 3 Plain HTML Forms degraded mode DOM scanning autofill,formy-extension/,later,NOT_DONE,"As a developer, I want to formy Phase 3 — Mode 3 Plain HTML Forms degraded mode DOM scanning autofill, so that the formy-extension is complete.",P4,BLOCKED on formy-extension submodule.
Spec 2026-03-26 formy,SPEC-058,Formy Phase 3 — profile import/export cloud sync encrypted vault blob,formy-extension/,later,NOT_DONE,"As a developer, I want to formy Phase 3 — profile import/export cloud sync encrypted vault blob, so that the formy-extension is complete.",P4,BLOCKED on formy-extension submodule.
Spec 2026-03-26 locale-translation,SPEC-059,Implement TranslationContext assembler walk translatable keys resolve Definition References Ontology,packages/formspec-core/src/ + formspec-studio-core/,later,NOT_DONE,"As a spec author, I want to implement TranslationContext assembler walk translatable keys resolve Definition References Ontology, so that the runtime supports this behavior.",P4,TranslationContext assembler. Depends on Refs+Ontology docs (SPEC-070). DESIGN EXISTS.
Spec 2026-03-26 locale-translation,SPEC-061,Implement formspec_translate MCP tool batch AI translate with TranslationContext,packages/formspec-mcp/src/tools/,later,NOT_DONE,"As a spec author, I want to implement formspec_translate MCP tool batch AI translate with TranslationContext, so that the runtime supports this behavior.",P4,formspec_translate MCP tool. Follows locale.ts pattern.
Spec 2026-03-26 locale-translation,SPEC-062,Implement formspec_locale_coverage MCP tool translated/total per locale,packages/formspec-mcp/src/tools/,later,NOT_DONE,"As a spec author, I want to implement formspec_locale_coverage MCP tool translated/total per locale, so that the runtime supports this behavior.",P4,formspec_locale_coverage MCP tool. Follows locale.ts pattern.
Spec 2026-03-26 locale-translation,SPEC-063,Implement formspec_locale_diff MCP tool detect keys added/removed/changed,packages/formspec-mcp/src/tools/,later,NOT_DONE,"As a spec author, I want to implement formspec_locale_diff MCP tool detect keys added/removed/changed, so that the runtime supports this behavior.",P4,formspec_locale_diff MCP tool. Follows locale.ts pattern.
Spec 2026-03-26 locale-translation,SPEC-064,Implement formspec_locale_review MCP tool AI quality review,packages/formspec-mcp/src/tools/,later,NOT_DONE,"As a spec author, I want to implement formspec_locale_review MCP tool AI quality review, so that the runtime supports this behavior.",P4,formspec_locale_review MCP tool. Follows locale.ts pattern.
Spec 2026-03-26 locale-translation,SPEC-065,Implement formspec_locale_glossary MCP tool extract/manage translation glossary,packages/formspec-mcp/src/tools/,later,NOT_DONE,"As a spec author, I want to implement formspec_locale_glossary MCP tool extract/manage translation glossary, so that the runtime supports this behavior.",P4,formspec_locale_glossary MCP tool. Follows locale.ts pattern.
Spec 2026-03-26 locale-translation,SPEC-066,Build Studio Locale Tab 7th workspace tab with locale list translation grid AI review,packages/formspec-studio/src/workspaces/,later,NOT_DONE,"As a spec author, I want to build Studio Locale Tab 7th workspace tab with locale list translation grid AI review, so that the specification is complete and normative.",P4,Studio Locale Tab. 6-8h UI work. DESIGN EXISTS.
Spec 2026-03-26 locale-translation,SPEC-067,Wire Studio context panel to selected key with field info references ontology,packages/formspec-studio/src/workspaces/locale/,later,NOT_DONE,"As a spec author, I want to wire Studio context panel to selected key with field info references ontology, so that the feature works end-to-end.",P4,Studio context panel wiring. DEPENDS on SPEC-066.
Spec 2026-03-26 locale-translation,SPEC-068,Build standalone translation app Phase 3 project bundle import/export TMS hooks,later,later,NOT_DONE,"As a developer, I want to build standalone translation app Phase 3 project bundle import/export TMS hooks, so that the codebase is complete.",P4,Standalone translation app Phase 3. P4 correct — deferred.
Spec 2026-03-26 locale-translation,SPEC-069,Advanced AI features Phase 4 glossary management translation memory pluralization,later,later,NOT_DONE,"As a developer, I want to advanced AI features Phase 4 glossary management translation memory pluralization, so that the codebase is complete.",P4,Advanced AI Phase 4. P4 correct — deferred.
Spec 2026-03-26 refs-ontology,SPEC-070,Implement formspec-core references handlers load remove select addReference updateReference etc,packages/formspec-core/src/handlers/,later,NOT_DONE,"As a spec author, I want to implement formspec-core references handlers load remove select addReference updateReference etc, so that the runtime supports this behavior.",P4,formspec-core references handlers. Not done. P4 correct.
Spec 2026-03-26 refs-ontology,SPEC-071,Implement formspec-core ontology handlers load remove select setConcept removeConcept etc,packages/formspec-core/src/handlers/,later,NOT_DONE,"As a spec author, I want to implement formspec-core ontology handlers load remove select setConcept removeConcept etc, so that the runtime supports this behavior.",P4,formspec-core ontology handlers. Not done. P4 correct.
Spec 2026-03-26 refs-ontology,SPEC-072,Implement formspec_context MCP tool unified References+Ontology CRUD,packages/formspec-mcp/src/tools/,later,NOT_DONE,"As a spec author, I want to implement formspec_context MCP tool unified References+Ontology CRUD, so that the runtime supports this behavior.",P4,formspec_context unified MCP tool. standalone reference.ts + ontology.ts exist separately.
Spec 2026-03-26 refs-ontology,SPEC-073,Implement studio-core helpers addReference updateReference setConcept addAlignment etc,packages/formspec-studio-core/src/,later,NOT_DONE,"As a spec author, I want to implement studio-core helpers addReference updateReference setConcept addAlignment etc, so that the runtime supports this behavior.",P4,studio-core helpers addReference etc. Not done. P4 correct.
Spec 2026-03-26 refs-ontology,SPEC-074,Add ReferencesState and OntologyState to ProjectState,packages/formspec-core/src/types.ts,later,NOT_DONE,"As a spec author, I want to add ReferencesState and OntologyState to ProjectState, so that the specification is complete and normative.",P4,ReferencesState + OntologyState on ProjectState. Not done. P4 correct.
Spec 2026-03-26 refs-ontology,SPEC-075,Build Context Layer UI editor context mode toggle with badge overlay,packages/formspec-studio/src/workspaces/editor/,later,NOT_DONE,"As a spec author, I want to build Context Layer UI editor context mode toggle with badge overlay, so that the specification is complete and normative.",P4,Context Layer UI editor toggle. Not done. P4 correct.
Spec 2026-03-26 refs-ontology,SPEC-076,Build Context Panel Meaning section concept search matched display equivalents management,packages/formspec-studio/src/components/,later,NOT_DONE,"As a spec author, I want to build Context Panel Meaning section concept search matched display equivalents management, so that the specification is complete and normative.",P4,Context Panel Meaning section. Not done. P4 correct.
Spec 2026-03-26 refs-ontology,SPEC-077,Build Context Panel Context section glossary entries documentation links AI resources,packages/formspec-studio/src/components/,later,NOT_DONE,"As a spec author, I want to build Context Panel Context section glossary entries documentation links AI resources, so that the specification is complete and normative.",P4,Context Panel Context section. Not done. P4 correct.
Spec 2026-03-26 refs-ontology,SPEC-078,Build Context Panel Rules section regulation/policy entries with plain-language verbs,packages/formspec-studio/src/components/,later,NOT_DONE,"As a spec author, I want to build Context Panel Rules section regulation/policy entries with plain-language verbs, so that the specification is complete and normative.",P4,Context Panel Rules section. Not done. P4 correct.
Spec 2026-03-26 refs-ontology,SPEC-079,Build form-level context panel domain metadata JSON-LD editor,packages/formspec-studio/src/components/,later,NOT_DONE,"As a spec author, I want to build form-level context panel domain metadata JSON-LD editor, so that the specification is complete and normative.",P4,Form-level context panel JSON-LD editor. Not done. P4 correct.
Spec 2026-03-26 refs-ontology,SPEC-080,Implement reusable references promotion auto-promote to referenceDefs with pointers,packages/formspec-studio-core/src/,later,NOT_DONE,"As a spec author, I want to implement reusable references promotion auto-promote to referenceDefs with pointers, so that the runtime supports this behavior.",P4,Reusable references promotion. Not done. P4 correct.
Spec 2026-03-26 refs-ontology,SPEC-081,Build Bulk Annotation Mode Phase 3 table view filter by missing annotations AI bulk actions,packages/formspec-studio/src/workspaces/,later,NOT_DONE,"As a spec author, I want to build Bulk Annotation Mode Phase 3 table view filter by missing annotations AI bulk actions, so that the specification is complete and normative.",P4,Bulk Annotation Mode. Not done. P4 correct.
